Time,Hour_of_Day,Ti_current,Q_heater_prev,T_ambient,Q_internal,Ti_next
1492980,6.71666666666664,294.580147737411,0,288.060897748639,445.428571428571,294.500801188058
1493040,6.73333333333335,294.500801188058,0,288.056823033642,446.285714285714,294.421454638705
1493100,6.75,294.421454638705,0,288.052748318645,447.142857142857,294.342108089352
1493160,6.76666666666665,294.342108089352,0,288.048673603647,448,294.262761539999
1493220,6.78333333333336,294.262761539999,0,288.04459888865,448.857142857143,294.183414990646
1493280,6.80000000000001,294.183414990646,0,288.040524173653,449.714285714286,294.356716205961
1493340,6.81666666666666,294.356716205961,3000,288.036010241833,450.571428571429,294.713817469254
1493400,6.83333333333331,294.713817469254,3000,288.031176781862,451.428571428571,295.070918732547
1493460,6.85000000000002,295.070918732547,3000,288.026343321891,452.285714285714,295.428019995841
1493520,6.86666666666667,295.428019995841,3000,288.02150986192,453.142857142857,295.785121259134
1493580,6.88333333333333,295.785121259134,3000,288.01667640195,454,296.142222522428
1493640,6.89999999999998,296.142222522428,3000,288.011842941979,454.857142857143,296.044440859487
1493700,6.91666666666669,296.044440859487,0,288.006498872477,455.714285714286,295.936531510025
1493760,6.93333333333334,295.936531510025,0,288.001143434571,456.571428571429,295.828622160563
1493820,6.94999999999999,295.828622160563,0,287.995787996665,457.428571428571,295.720712811101
1493880,6.96666666666664,295.720712811101,0,287.990432558759,458.285714285714,295.61280346164
1493940,6.98333333333335,295.61280346164,0,287.985077120853,459.142857142857,295.509722438897
1494000,7,295.509722438897,0,287.979528025872,460,295.414601046606
1494060,7.01666666666665,295.414601046606,0,287.973659681833,460.857142857143,295.319479654315
1494120,7.03333333333336,295.319479654315,0,287.967791337794,461.714285714286,295.224358262024
1494180,7.05000000000001,295.224358262024,0,287.961922993754,462.571428571429,295.129236869733
1494240,7.06666666666666,295.129236869733,0,287.956054649715,463.428571428571,295.034115477442
1494300,7.08333333333331,295.034115477442,0,287.950186305676,464.285714285714,294.951316490683
1494360,7.10000000000002,294.951316490683,0,287.943734052145,465.142857142857,294.872055765021
1494420,7.11666666666667,294.872055765021,0,287.937114134577,466,294.792795039359
1494480,7.13333333333333,294.792795039359,0,287.93049421701,466.857142857143,294.713534313697
1494540,7.14999999999998,294.713534313697,0,287.923874299443,467.714285714286,294.634273588035
1494600,7.16666666666669,294.634273588035,0,287.917254381876,468.571428571429,294.555012862373
1494660,7.18333333333334,294.555012862373,0,287.910634464308,469.428571428571,294.475752136711
1494720,7.19999999999999,294.475752136711,0,287.904014546741,470.285714285714,294.396491411049
1494780,7.21666666666664,294.396491411049,0,287.897394629174,471.142857142857,294.317230685387
1494840,7.23333333333335,294.317230685387,0,287.890774711607,472,294.237969959725
1494900,7.25,294.237969959725,0,287.884154794039,472.857142857143,294.158709234063
1494960,7.26666666666665,294.158709234063,0,287.877534876472,473.714285714286,294.467641476547
1495020,7.28333333333336,294.467641476547,3000,287.87025176092,474.571428571429,294.824494228616
1495080,7.30000000000001,294.824494228616,3000,287.862886776844,475.428571428571,295.181346980686
1495140,7.31666666666666,295.181346980686,3000,287.855521792768,476.285714285714,295.538199732756
1495200,7.33333333333331,295.538199732756,3000,287.848156808692,477.142857142857,295.895052484826
1495260,7.35000000000002,295.895052484826,3000,287.840791824616,478,296.11903424621
1495320,7.36666666666667,296.11903424621,0,287.833284290199,478.857142857143,296.010598067688
1495380,7.38333333333333,296.010598067688,0,287.825420121951,479.714285714286,295.902161889166
1495440,7.39999999999998,295.902161889166,0,287.817555953702,480.571428571429,295.793725710644
1495500,7.41666666666669,295.793725710644,0,287.809691785454,481.428571428571,295.685289532121
1495560,7.43333333333334,295.685289532121,0,287.801827617205,482.285714285714,295.576853353599
1495620,7.44999999999999,295.576853353599,0,287.793963448956,483.142857142857,295.476972375984
1495680,7.46666666666664,295.476972375984,0,287.785762871034,484,295.381098640931
1495740,7.48333333333335,295.381098640931,0,287.777404719352,484.857142857143,295.285224905878
1495800,7.5,295.285224905878,0,287.76904656767,485.714285714286,295.189351170824
1495860,7.51666666666665,295.189351170824,0,287.760688415988,486.571428571429,295.093477435771
1495920,7.53333333333336,295.093477435771,0,287.752330264306,487.428571428571,294.998777536815
1495980,7.55000000000001,294.998777536815,0,287.743917896439,488.285714285714,294.918255783265
1496040,7.56666666666666,294.918255783265,0,287.734850679934,489.142857142857,294.837734029716
1496100,7.58333333333331,294.837734029716,0,287.725783463429,490,294.757212276167
1496160,7.60000000000002,294.757212276167,0,287.716716246924,490.857142857143,294.676690522617
1496220,7.61666666666667,294.676690522617,0,287.707649030419,491.714285714286,294.596168769068
1496280,7.63333333333333,294.596168769068,0,287.698581813915,492.571428571429,294.515647015519
1496340,7.64999999999998,294.515647015519,0,287.68951459741,493.428571428571,294.43512526197
1496400,7.66666666666669,294.43512526197,0,287.680447380905,494.285714285714,294.35460350842
1496460,7.68333333333334,294.35460350842,0,287.6713801644,495.142857142857,294.274081754871
1496520,7.69999999999999,294.274081754871,0,287.662312947895,496,294.193560001322
1496580,7.71666666666664,294.193560001322,0,287.65324573139,496.857142857143,294.31295704453
1496640,7.73333333333335,294.31295704453,3000,287.643858695698,497.402893466564,294.667961507153
1496700,7.75,294.667961507153,3000,287.634094748106,497.581663456337,295.022965969775
1496760,7.76666666666665,295.022965969775,3000,287.624330800515,497.76043344611,295.377970432398
1496820,7.78333333333336,295.377970432398,3000,287.614566852923,497.939203435884,295.732974895021
1496880,7.80000000000001,295.732974895021,3000,287.604802905331,498.117973425657,296.087979357644
1496940,7.81666666666666,296.087979357644,3000,287.595038957739,498.29674341543,296.057975443279
1497000,7.83333333333331,296.057975443279,0,287.584880986653,497.777777777778,295.946470554449
1497060,7.85000000000002,295.946470554449,0,287.574639606216,497.111111111111,295.834965665619
1497120,7.86666666666667,295.834965665619,0,287.564398225779,496.444444444444,295.72346077679
